timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
18:58:47.669259,-1,-3,-1,-2,0,-4,-13,-6
18:58:47.683250,2,-2,-1,0,-4,1,8,0
18:58:47.684248,0,-1,-1,-3,-2,-2,2,-1
18:58:47.706232,-4,-3,-2,0,0,-1,2,-5
18:58:47.706232,-9,-4,-5,-4,-1,-3,-12,-16
18:58:47.720228,-3,-1,1,-1,2,-1,0,0
18:58:47.721224,-1,0,1,-1,-1,-1,-2,-6
18:58:47.743214,-9,-8,-3,-1,0,-1,-6,-6
18:58:47.744210,-5,1,1,0,0,1,0,0
18:58:47.766197,-7,-5,-5,-3,-1,-3,-9,-3
18:58:47.766197,-4,-3,-1,-2,-1,-5,-5,-10
18:58:47.781186,2,-1,-2,-2,-1,-2,-20,0
18:58:47.781186,-6,1,0,-1,-3,-2,0,-4
18:58:47.803174,-1,0,2,-2,1,-1,-4,-5
18:58:47.804171,4,5,1,2,-1,5,6,4
18:58:47.826157,-4,-3,-1,-3,0,-3,2,12
18:58:47.826157,-2,-3,-1,0,-1,-3,-2,-5
18:58:47.841150,3,1,1,0,2,2,3,20
18:58:47.841150,-4,-4,-3,-3,0,1,-1,-5
18:58:47.863136,-5,0,0,-2,2,-3,-3,-2
18:58:47.864136,-1,-2,-1,-3,-1,-3,-8,4
18:58:47.886124,-3,-1,-2,1,1,1,-1,-5
18:58:47.887123,3,4,-1,-1,0,-5,-10,-9
18:58:47.901115,3,2,0,-1,-1,1,-3,12
18:58:47.902111,1,1,0,-1,0,-1,4,-1
18:58:47.931096,-3,1,0,-3,-3,-1,-4,-5
18:58:47.932096,-3,-4,-1,-2,1,1,0,-5
18:58:47.946084,0,-1,1,0,0,3,-8,2
18:58:47.947087,-7,-3,1,-1,-1,-3,-8,-1
18:58:47.961078,-3,0,-4,-3,-1,-2,0,0
18:58:47.969073,-1,3,0,-4,-2,0,2,1
18:58:47.984061,-2,-4,1,-3,-2,-1,-4,-4
18:58:47.984061,-2,1,0,-3,-1,0,15,-5
18:58:48.006050,-1,-2,-1,1,0,-1,-15,-13
18:58:48.007048,1,0,-1,-1,-1,-1,3,-1
18:58:48.021041,-1,1,0,0,-2,-1,2,0
18:58:48.029033,-2,-3,1,-1,0,-2,-24,-14
18:58:48.044023,-1,-2,-1,3,0,5,9,8
18:58:48.044023,0,0,1,-3,-4,-3,-4,-5
18:58:48.066013,-3,1,2,-1,3,1,-4,0
18:58:48.067009,-7,-2,-1,-3,-3,-4,10,-9
18:58:48.081000,-3,-2,3,0,-4,-4,-7,-13
18:58:48.088998,2,3,1,-4,-1,-1,-6,-7
18:58:48.103986,4,2,-3,-2,-1,-1,2,-9
18:58:48.103986,6,3,0,2,2,5,-17,20
18:58:48.125972,-1,-2,1,1,1,-4,-6,-8
18:58:48.126972,0,0,1,-3,3,-3,-3,-4
18:58:48.148960,-5,1,-4,0,-1,1,-17,-6
18:58:48.148960,-2,-2,-1,-3,-1,2,2,1
18:58:48.163949,-2,2,2,1,0,-1,-2,-1
18:58:48.163949,-3,-3,-1,3,1,-9,-9,-20
18:58:48.185938,23,7,-2,0,0,3,4,22
18:58:48.186935,-5,-1,-2,-1,-5,-6,-1,-8
18:58:48.200928,-1,-2,-1,-4,-2,-1,5,-3
18:58:48.208921,13,6,0,-1,-3,3,15,15
18:58:48.223912,7,-1,-3,-2,-2,-3,8,1
18:58:48.223912,1,2,0,-4,2,1,10,5
18:58:48.245901,-3,1,0,-1,0,2,1,-5
18:58:48.246898,-4,-1,-1,-2,-1,-2,-5,-7
18:58:48.260889,-1,-3,-4,-1,0,-2,-4,-2
18:58:48.268887,-1,0,0,-1,-1,-3,-1,-1
18:58:48.283875,0,-3,1,1,-1,-1,2,-1
18:58:48.283875,-5,-2,-3,-2,-5,-2,-3,-5
18:58:48.305864,-3,-2,1,2,-1,0,-19,-8
18:58:48.306863,1,-2,-3,1,0,3,20,9
18:58:48.320853,5,4,-1,-1,-3,1,7,5
18:58:48.328850,-5,0,-2,-1,2,-1,-1,-6
18:58:48.343837,4,-1,-2,-1,0,0,-14,11
18:58:48.343837,1,-2,-1,-1,-1,-1,2,-3
18:58:48.373819,2,0,0,2,-2,4,-2,-1
18:58:48.373819,-1,-2,-3,-1,-1,-3,0,-6
18:58:48.380815,-3,-3,-1,-2,0,0,-3,0
18:58:48.388809,2,0,-4,-2,-2,-3,-23,9
18:58:48.403801,1,-3,-3,-1,0,0,5,1
18:58:48.403801,0,1,-2,-1,-3,-1,1,1
18:58:48.425788,-5,-1,0,0,-2,1,-4,-5
18:58:48.426786,-3,-1,0,-1,0,-3,-18,-9
18:58:48.441780,12,2,0,-2,-1,3,-5,18
18:58:48.448775,-7,-1,-4,-3,0,-3,0,-6
18:58:48.463766,-9,-6,-1,-5,-2,-1,4,-8
18:58:48.464765,-3,2,-1,-2,-3,-1,-3,-6
18:58:48.486749,-2,-1,-3,-1,-2,-2,1,-1
18:58:48.486749,-1,0,-3,-1,2,-1,-1,0
18:58:48.501741,-2,1,0,0,-1,-5,-5,-2
18:58:48.508739,-1,-1,0,-2,0,-1,-1,2
18:58:48.523726,1,4,-1,0,-2,1,-1,1
18:58:48.523726,-1,0,-1,-2,-3,-1,0,-4
18:58:48.545715,-3,0,-1,-2,-1,0,-14,-12
18:58:48.546712,-6,-5,-2,-1,-5,3,-16,2
18:58:48.561705,-5,0,1,0,1,-6,1,-11
18:58:48.568701,-2,-3,1,-1,-3,-1,0,0
18:58:48.583692,2,3,1,3,1,2,1,0
18:58:48.583692,-5,-3,-1,-3,-7,0,2,-3
18:58:48.605677,1,1,1,-3,3,4,-13,-1
18:58:48.606677,4,0,-1,-1,-1,2,1,-1
18:58:48.628664,-1,-1,-2,-2,-3,-1,-3,-5
18:58:48.629666,-1,1,0,2,-1,2,-1,-3
18:58:48.643655,1,-6,-1,1,-1,-1,0,-5
18:58:48.644651,-1,3,-1,-2,2,0,6,-5
18:58:48.665637,12,3,0,1,-1,0,32,10
18:58:48.666641,4,3,3,1,-3,0,0,-4
18:58:48.688625,0,-3,-1,1,1,0,2,0
18:58:48.689624,5,2,0,-1,2,-1,4,5
18:58:48.703617,-3,-3,-1,1,-2,2,-7,1
18:58:48.703617,10,1,2,0,-2,-1,8,18
18:58:48.725601,4,1,-1,1,4,1,-3,-6
18:58:48.726602,-5,1,2,1,1,-2,2,-6
18:58:48.748590,4,2,-5,-1,-1,-2,4,6
18:58:48.749586,-3,-3,-2,1,-4,-1,5,2
18:58:48.763580,0,1,1,-1,1,-1,0,2
18:58:48.764577,1,-1,-2,0,0,-3,2,5
18:58:48.786563,-2,-3,-4,-4,0,-2,-14,0
18:58:48.786563,-10,-4,2,2,2,-2,-29,1
18:58:48.808549,1,-3,-1,1,-2,-3,1,0
18:58:48.809549,-4,-5,-2,1,0,-3,2,-7
18:58:48.823543,-4,1,-1,-3,-4,-3,-7,2
