timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27
18:51:44.150923,-24959.943359375,-23115.5234375,-21374.375,-20483.458984375,-28161.392578125,-23722.4609375,-16584.31640625,-32189.826171875,554.8104248046875,-45748.5703125,5313.751953125,-38335.12109375,-37695.01171875,26792.830078125,-23106.3125,-4012.249755859375,-67412.015625,-55700.28515625,-76962.8046875,131065.125,-8401.82421875,-8356.759765625,656808.1875,657839.4375,0.0,0.0,0.0
18:51:44.151920,-24953.7734375,-23108.279296875,-21370.88671875,-20473.17578125,-28151.82421875,-23670.421875,-16570.7265625,-32188.751953125,569.653076171875,-45829.9375,5343.43701171875,-38333.24609375,-37696.3515625,26787.642578125,-23099.25,-3997.49658203125,-67375.1796875,-55553.29296875,-76810.3515625,130019.2578125,-8547.2109375,-8502.4150390625,656738.125,657802.125,0.0,0.0,0.0
18:51:44.152922,-24944.02734375,-23104.525390625,-21365.25390625,-20421.673828125,-28101.484375,-23528.34375,-16563.572265625,-32183.833984375,607.5643920898438,-44911.75,5417.4716796875,-38330.7421875,-37690.09375,26788.716796875,-23071.263671875,-3957.6181640625,-67284.421875,-55199.9296875,-76357.65625,131421.609375,-7460.30078125,-7415.23681640625,657648.625,658963.5,0.0,0.0,0.0
18:51:44.154919,-24941.166015625,-23102.111328125,-21366.595703125,-20406.294921875,-28087.537109375,-23502.771484375,-16556.77734375,-32182.046875,612.0350341796875,-44342.72265625,5420.33251953125,-38330.3828125,-37690.62890625,26789.341796875,-23066.076171875,-3958.869873046875,-67285.3203125,-55182.046875,-76283.171875,133228.546875,-6734.17431640625,-6687.7685546875,658294.25,659629.3125,0.0,0.0,0.0
18:51:44.156918,-24939.2890625,-23096.923828125,-21368.205078125,-20445.099609375,-28124.46484375,-23625.1796875,-16563.572265625,-32188.751953125,577.6109008789062,-44927.75390625,5352.37841796875,-38333.78125,-37701.5390625,26785.140625,-23092.990234375,-3998.837646484375,-67379.3828125,-55523.875,-76690.09375,132816.875,-7388.41259765625,-7342.0068359375,657620.6875,658910.0,0.0,0.0,0.0
18:51:44.158918,-24941.076171875,-23094.509765625,-21369.1875,-20485.515625,-28154.685546875,-23708.333984375,-16561.517578125,-32190.09375,557.224609375,-45743.20703125,5314.02001953125,-38335.75,-37713.96875,26781.205078125,-23109.888671875,-4020.1181640625,-67435.7109375,-55727.6484375,-76978.6328125,130960.3125,-8386.2666015625,-8341.2021484375,656805.0625,657853.5625,0.0,16761591.0,0.0
18:51:44.160915,-24937.947265625,-23091.6484375,-21370.88671875,-20478.720703125,-28141.18359375,-23657.546875,-16553.201171875,-32189.19921875,573.408447265625,-45820.90625,5350.32177734375,-38335.2109375,-37719.2421875,26778.5234375,-23100.412109375,-4003.0400390625,-67394.9375,-55589.86328125,-76831.90625,129917.796875,-8535.6767578125,-8489.8076171875,656736.75,657810.8125,0.0,0.0,0.0
18:51:44.161915,-24931.95703125,-23088.69921875,-21368.3828125,-20423.283203125,-28088.69921875,-23515.201171875,-16542.025390625,-32184.4609375,607.65380859375,-44895.921875,5424.26708984375,-38331.9921875,-37713.69921875,26779.865234375,-23067.150390625,-3958.51220703125,-67293.1875,-55238.82421875,-76373.9296875,131355.234375,-7429.18505859375,-7383.0478515625,657665.8125,658992.6875,0.0,0.0,0.0
18:51:44.163914,-24932.76171875,-23092.900390625,-21363.107421875,-20401.19921875,-28071.888671875,-23492.220703125,-16541.666015625,-32185.35546875,606.1337890625,-44320.546875,5430.16796875,-38331.72265625,-37715.75390625,26781.474609375,-23062.322265625,-3950.37548828125,-67285.3203125,-55217.9921875,-76293.2734375,133174.234375,-6699.30322265625,-6653.97021484375,658317.875,659662.375,0.0,0.0,0.0
18:51:44.165911,-24937.5,-23094.509765625,-21371.244140625,-20439.466796875,-28106.58203125,-23618.025390625,-16545.6015625,-32187.232421875,572.8719482421875,-44916.1328125,5366.86328125,-38332.70703125,-37726.12890625,26780.490234375,-23087.08984375,-3982.832763671875,-67372.5859375,-55548.91015625,-76703.5078125,132751.6875,-7365.88037109375,-7320.5478515625,657630.9375,658928.9375,0.0,0.0,0.0
18:51:44.167910,-24941.255859375,-23093.884765625,-21376.341796875,-20474.78515625,-28137.4296875,-23705.47265625,-16551.32421875,-32189.19921875,554.2739868164062,-45744.45703125,5334.94287109375,-38330.11328125,-37727.9140625,26780.490234375,-23101.484375,-3998.837646484375,-67416.3125,-55750.359375,-76983.7265625,130863.34375,-8390.2900390625,-8344.689453125,656790.3125,657850.3125,0.0,0.0,0.0
18:51:44.168911,-24936.16015625,-23090.30859375,-21371.333984375,-20456.3671875,-28118.384765625,-23645.654296875,-16545.154296875,-32184.908203125,575.4649658203125,-45797.92578125,5382.24267578125,-38326.1796875,-37712.71484375,26790.236328125,-23078.05859375,-3971.3876953125,-67362.390625,-55594.2421875,-76805.6171875,129838.4609375,-8521.4599609375,-8476.6640625,656740.1875,657830.8125,0.0,0.0,0.0
18:51:44.170908,-24924.267578125,-23081.90234375,-21357.20703125,-20394.044921875,-28062.5,-23500.26953125,-16534.423828125,-32177.396484375,619.9928588867188,-44861.58984375,5458.7802734375,-38319.921875,-37694.83203125,26800.787109375,-23040.951171875,-3921.76318359375,-67264.125,-55226.12890625,-76335.2109375,131300.234375,-7405.580078125,-7359.97900390625,657678.75,659021.75,0.0,0.0,0.0
18:51:44.170908,-24918.9921875,-23080.919921875,-21355.77734375,-20374.017578125,-28048.015625,-23480.41796875,-16536.837890625,-32176.771484375,625.5364990234375,-44298.640625,5458.51220703125,-38318.04296875,-37698.67578125,26801.591796875,-23039.611328125,-3919.259765625,-67254.203125,-55212.89453125,-76257.3359375,133132.984375,-6672.2109375,-6627.41455078125,658333.6875,659692.25,0.0,16761591.0,0.0
18:51:44.171907,-24928.380859375,-23090.666015625,-21362.302734375,-20418.365234375,-28089.861328125,-23615.076171875,-16558.65625,-32182.046875,593.7947387695312,-44915.23828125,5387.7861328125,-38322.78125,-37710.66015625,26797.478515625,-23069.384765625,-3961.6416015625,-67347.640625,-55559.19140625,-76679.3671875,132679.328125,-7361.3203125,-7315.98779296875,657627.6875,658940.0,0.0,0.0,0.0
18:51:44.172907,-24933.4765625,-23094.95703125,-21364.62890625,-20461.10546875,-28123.5703125,-23701.1796875,-16559.99609375,-32182.224609375,581.5450439453125,-45747.23046875,5354.79248046875,-38321.80078125,-37710.66015625,26797.748046875,-23081.27734375,-3981.491455078125,-67403.7890625,-55754.11328125,-76978.359375,130763.890625,-8394.8505859375,-8350.859375,656783.0625,657850.125,0.0,0.0,0.0
18:51:44.173909,-24929.185546875,-23094.599609375,-21362.302734375,-20451.716796875,-28110.158203125,-23650.125,-16559.728515625,-32177.12890625,600.6795654296875,-45798.10546875,5388.859375,-38319.5625,-37701.984375,26800.4296875,-23066.970703125,-3962.535888671875,-67358.90625,-55591.828125,-76819.2109375,129739.546875,-8525.751953125,-8481.4921875,656734.5625,657834.125,0.0,0.0,0.0
18:51:44.175909,-24924.802734375,-23091.828125,-21359.888671875,-20393.150390625,-28059.818359375,-23511.177734375,-16551.32421875,-32171.673828125,634.388427734375,-44843.97265625,5457.796875,-38317.23828125,-37688.75390625,26801.94921875,-23037.5546875,-3923.99853515625,-67262.6953125,-55222.28125,-76346.921875,131242.5625,-7390.82666015625,-7346.298828125,657693.6875,659036.375,0.0,0.0,0.0
18:51:44.177907,-24929.005859375,-23092.275390625,-21363.197265625,-20378.3984375,-28048.283203125,-23497.5859375,-16554.2734375,-32175.51953125,626.877685546875,-44298.640625,5451.5380859375,-38320.01171875,-37689.46875,26799.267578125,-23035.05078125,-3931.151611328125,-67269.5859375,-55209.5859375,-76283.7109375,133057.40625,-6680.2578125,-6634.12060546875,658323.125,659687.25,0.0,0.0,0.0
18:51:44.179904,-24936.0703125,-23095.671875,-21369.45703125,-20420.064453125,-28090.12890625,-23625.0,-16564.01953125,-32182.76171875,591.9170532226562,-44938.39453125,5380.5439453125,-38325.19921875,-37699.125,26795.421875,-23065.18359375,-3974.070068359375,-67365.7890625,-55551.14453125,-76710.65625,132559.21875,-7388.14453125,-7342.275390625,657605.8125,658912.1875,0.0,0.0,0.0
18:51:44.181904,-24946.44140625,-23098.802734375,-21371.69140625,-20461.552734375,-28126.162109375,-23711.1953125,-16565.8984375,-32183.298828125,574.3919677734375,-45769.4921875,5346.208984375,-38327.43359375,-37701.62890625,26794.796875,-23083.6015625,-3994.63525390625,-67411.2109375,-55740.43359375,-76984.171875,130642.84375,-8412.017578125,-8367.490234375,656780.6875,657833.3125,0.0,0.0,0.0
18:51:44.183899,-24949.212890625,-23100.501953125,-21369.3671875,-20454.578125,-28116.685546875,-23658.798828125,-16566.5234375,-32179.720703125,596.745361328125,-45792.0234375,5380.275390625,-38326.62890625,-37694.38671875,26796.49609375,-23073.498046875,-3973.086669921875,-67361.140625,-55575.734375,-76804.0078125,129671.8828125,-8512.8759765625,-8468.3486328125,656754.1875,657842.125,0.0,16761591.0,0.0
18:51:44.185901,-24942.685546875,-23100.58984375,-21362.125,-20405.580078125,-28070.81640625,-23516.2734375,-16558.833984375,-32175.33984375,625.0,-44839.4140625,5445.36865234375,-38324.66015625,-37684.1015625,26797.92578125,-23046.583984375,-3933.208251953125,-67266.8125,-55209.140625,-76332.0859375,131179.265625,-7384.92529296875,-7339.32470703125,657708.25,659035.3125,0.0,0.0,0.0
18:51:44.187900,-24941.970703125,-23100.322265625,-21365.880859375,-20393.59765625,-28063.841796875,-23505.0078125,-16558.38671875,-32176.501953125,618.3834228515625,-44321.62109375,5441.3447265625,-38327.5234375,-37687.58984375,26793.0078125,-23049.802734375,-3936.6953125,-67270.296875,-55192.0625,-76272.0,132951.71875,-6702.52197265625,-6656.1162109375,658310.375,659656.75,0.0,0.0,0.0
18:51:44.187900,-24946.173828125,-23100.501953125,-21370.26171875,-20439.556640625,-28106.40234375,-23630.90234375,-16562.6796875,-32182.671875,584.8533935546875,-44957.88671875,5371.78125,-38331.9921875,-37702.25390625,26788.26953125,-23080.919921875,-3975.322021484375,-67362.21875,-55522.17578125,-76687.765625,132439.1875,-7414.16357421875,-7368.29443359375,657588.875,658879.3125,0.0,0.0,0.0
18:51:44.189898,-24946.263671875,-23097.4609375,-21372.048828125,-20476.037109375,-28138.322265625,-23709.853515625,-16560.443359375,-32185.265625,572.0672607421875,-45762.875,5338.78759765625,-38330.203125,-37709.40625,26789.07421875,-23097.37109375,-3992.578857421875,-67410.5,-55709.05078125,-76960.125,130555.6015625,-8415.7734375,-8370.708984375,656787.9375,657822.8125,0.0,0.0,0.0
