timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
16:45:11.689356,-3,-3,0,-7,-21,-3,-1,0
16:45:11.689356,-2,-3,-3,-1,39,4,-6,-3
16:45:11.699351,-2,0,-1,-9,-34,-5,-5,-3
16:45:11.706344,-1,-1,-4,-1,24,6,-3,0
16:45:11.722334,1,0,0,6,1,3,-3,-4
16:45:11.722334,-4,-4,-3,1,3,1,1,-1
16:45:11.780297,-4,-2,0,-2,-1,0,3,5
16:45:11.780297,0,0,1,-1,5,-1,1,-1
16:45:11.780297,-2,-1,-2,1,1,-1,1,-1
16:45:11.780297,-3,-3,-4,-2,0,-3,-3,-3
16:45:11.788292,1,0,0,1,0,-1,0,1
16:45:11.788292,0,1,-1,5,12,2,0,0
16:45:11.803283,-3,-3,-4,-2,9,3,-1,-2
16:45:11.805282,4,3,2,-13,15,1,-1,-1
16:45:11.818274,1,-1,-3,-2,-3,-5,-2,0
16:45:11.826268,-1,2,-1,3,-7,-8,0,1
16:45:11.841258,2,2,0,0,-1,1,-1,2
16:45:11.841258,-2,-1,-3,-33,-3,5,0,0
16:45:11.871240,-6,2,0,3,2,-6,-3,-3
16:45:11.871240,0,-2,-1,-5,-8,-1,-1,2
16:45:11.878239,0,1,0,3,9,1,-1,-3
16:45:11.886230,15,2,0,15,16,2,-1,2
16:45:11.908217,-1,2,1,-9,-16,2,5,2
16:45:11.909216,-2,-1,-2,3,-1,-2,0,0
16:45:11.923236,1,-1,0,1,17,1,2,0
16:45:11.924207,-5,-5,2,-1,8,-4,-5,-3
16:45:11.938201,2,-2,-3,3,-18,-4,3,-1
16:45:11.946193,-3,-2,-4,4,3,4,3,-1
16:45:11.961184,1,0,1,-4,0,0,0,2
16:45:11.962185,2,0,1,4,3,4,0,-1
16:45:11.983194,-1,0,1,4,1,2,1,1
16:45:11.984170,-1,1,2,-16,-18,3,1,0
16:45:11.999162,1,0,-2,0,28,0,-1,2
16:45:12.006158,12,1,2,1,-7,0,0,4
16:45:12.021148,-2,-1,-3,0,-4,-2,2,0
16:45:12.022150,-1,-3,1,21,38,3,0,-3
16:45:12.044133,-1,2,-1,-11,-21,-1,-3,-5
16:45:12.051129,-3,0,-2,3,19,0,-2,0
16:45:12.059124,-1,-2,-1,5,42,-2,0,1
16:45:12.066120,0,-5,-3,-1,20,-1,-2,2
16:45:12.081110,1,-3,-2,-2,11,-4,0,2
16:45:12.082111,-4,0,1,0,-2,2,1,1
16:45:12.104096,-9,-4,-4,4,3,-3,-3,-7
16:45:12.104096,-2,0,-2,-1,1,2,1,-3
16:45:12.119087,-3,-1,2,-3,-4,2,0,1
16:45:12.126085,0,0,-1,2,1,0,-1,-1
16:45:12.141076,1,1,3,-5,9,3,2,-3
16:45:12.142073,-1,-4,-1,1,-9,-4,0,-2
16:45:12.164059,-1,1,-3,-3,7,-5,-2,0
16:45:12.164059,-3,-2,0,4,16,-6,-3,-3
16:45:12.179053,-5,2,-1,-4,-31,-3,-2,-3
