timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
14:48:32.488439,-2,2,-2,-3,-2,1,-1,1
14:48:32.503429,-3,-1,0,-3,-5,4,0,-2
14:48:32.511422,-2,-3,-1,-1,9,0,0,-3
14:48:32.566387,1,1,0,-1,3,-1,2,4
14:48:32.566387,0,-2,-1,0,-3,-4,-1,1
14:48:32.567386,3,1,1,-1,5,3,2,3
14:48:32.568386,-1,1,0,-1,-1,-2,-3,0
14:48:32.571384,2,-5,-2,-1,-2,0,2,1
14:48:32.571384,3,1,-1,-2,-4,-1,-2,1
14:48:32.587375,0,2,0,-2,1,-1,-3,0
14:48:32.593371,-1,0,2,-1,-1,-2,2,-4
14:48:32.609362,-2,-1,-2,-3,4,1,0,-3
14:48:32.609362,-1,0,-3,-1,0,0,0,1
14:48:32.624356,-3,-2,-1,0,0,-3,-2,-1
14:48:32.630348,1,2,0,-1,1,7,1,0
14:48:32.645342,-1,-1,-3,-2,0,-2,-4,2
14:48:32.653334,2,2,2,2,-1,0,2,1
14:48:32.668323,3,-6,-2,1,1,-2,-1,0
14:48:32.668323,-3,-1,1,0,-2,-2,0,-1
14:48:32.683315,1,-6,-2,1,0,-1,-3,3
14:48:32.691311,3,0,-1,0,-4,1,-3,5
14:48:32.705303,0,2,0,1,2,-3,-3,1
14:48:32.713297,-3,-1,1,3,-2,-1,-3,-1
14:48:32.728287,-1,-3,0,0,-4,-3,1,-3
14:48:32.728287,1,-2,1,0,0,-1,1,2
14:48:32.743278,-3,-4,-2,0,2,-3,-3,-4
14:48:32.750274,2,-3,-1,1,-3,0,-3,1
14:48:32.765275,0,-1,0,-4,-5,3,0,-2
14:48:32.773259,11,0,0,-3,-2,1,5,2
14:48:32.788250,-3,1,-2,0,1,1,-3,1
14:48:32.788250,0,-1,-1,-2,-8,-6,-4,-3
14:48:32.803241,-4,-2,-1,1,2,0,-3,-2
14:48:32.810239,-1,-4,-2,0,-6,-4,-3,-1
14:48:32.825230,-3,-3,-1,-2,-2,-1,-1,-1
14:48:32.833222,1,-2,1,-3,-4,3,-4,-1
14:48:32.848213,3,-1,-1,-1,2,1,0,2
14:48:32.848213,-4,-3,-1,-1,-2,-3,0,0
14:48:32.863204,-3,1,2,1,2,0,-3,-3
14:48:32.870208,-4,-3,-2,-4,-3,-2,0,-5
14:48:32.885192,-3,-1,-3,0,-9,0,-2,-2
14:48:32.893191,0,-2,-1,-1,3,4,1,-1
14:48:32.908176,-2,2,1,2,2,4,2,-3
14:48:32.908176,-3,-4,-2,-4,-2,-2,0,-1
14:48:32.924166,1,0,-2,-1,0,-1,-3,2
14:48:32.930165,-1,-2,-2,-4,-1,1,-1,-1
14:48:32.946170,-1,0,2,0,3,0,0,-2
14:48:32.953148,-1,-2,0,-1,-6,-5,3,-1
14:48:32.968138,-7,0,4,6,9,7,0,-4
14:48:32.968138,-4,-1,-1,-3,0,1,-5,-2
14:48:32.983129,-1,3,0,-2,-2,1,-3,2
14:48:32.991125,-4,-1,2,1,-2,-1,-1,1
14:48:33.006117,7,1,1,1,0,-3,2,3
14:48:33.013113,-3,-3,-2,0,0,-2,-2,-1
14:48:33.028101,-6,-2,-2,-2,0,0,-1,-2
14:48:33.029101,-1,0,-2,-1,-4,-6,0,-2
14:48:33.044095,-2,-2,-1,1,4,1,1,2
14:48:33.051090,4,0,2,3,5,4,0,3
14:48:33.067077,1,1,-1,-3,2,-5,-3,2
14:48:33.073075,-3,-1,-1,-4,-6,-3,0,-5
14:48:33.088067,-1,1,-2,-1,-3,-2,-4,-5
14:48:33.096062,9,-2,-4,-1,-1,-2,0,2
14:48:33.103057,0,-1,-1,1,0,-2,-1,-3
14:48:33.111052,-2,3,-4,-2,0,2,2,-4
14:48:33.126041,-3,3,-1,-2,-4,-2,-1,1
14:48:33.133038,-2,0,1,-1,-1,-1,-3,-1
14:48:33.148029,0,2,0,1,-9,3,2,1
14:48:33.149029,1,-2,2,2,7,0,-2,4
14:48:33.164020,-1,1,-1,-4,-4,-3,1,-3
14:48:33.171015,-2,-3,1,-3,0,-1,-3,0
14:48:33.186006,-1,-1,0,-2,-2,-1,1,-3
14:48:33.193999,-7,-4,3,-1,0,5,1,-5
14:48:33.207990,-6,-1,3,2,-4,-3,-3,-1
14:48:33.208990,2,-2,-2,0,1,2,7,9
14:48:33.230978,2,1,1,1,-3,-4,-2,-5
14:48:33.231978,-3,-3,-2,-4,6,1,1,-1
14:48:33.245969,-1,-1,-1,0,0,-3,-2,1
14:48:33.252963,4,-2,-3,-5,2,4,0,0
14:48:33.268954,-3,-5,-2,-2,-5,-3,0,-1
14:48:33.268954,-3,-3,2,0,2,1,-5,-1
14:48:33.283946,2,0,0,1,-1,4,0,1
14:48:33.291938,-2,-2,-2,1,0,-4,-2,-3
14:48:33.306929,-6,-1,-3,0,0,-2,-5,-3
14:48:33.313927,0,-2,1,0,-2,-6,-2,-2
14:48:33.328915,5,4,-3,-1,-2,-5,-1,6
14:48:33.328915,1,0,-2,0,-5,-1,1,-3
14:48:33.343905,0,-3,-1,-1,1,-3,-3,-3
14:48:33.350902,1,2,0,1,-1,0,0,2
14:48:33.365892,-3,-2,-1,-2,1,1,-2,1
14:48:33.372888,1,-2,3,-1,-2,-2,0,-1
14:48:33.387878,1,-1,0,0,2,-1,-1,-1
14:48:33.388878,-3,1,0,1,-3,-2,0,-2
14:48:33.402897,-2,-1,-3,1,-4,-2,0,-2
14:48:33.410867,2,-1,1,-2,0,-1,-2,0
14:48:33.425855,2,1,3,-1,4,-2,1,0
14:48:33.433852,4,-1,3,0,1,1,-2,-2
14:48:33.448840,-3,-2,-1,1,-1,-3,-2,-2
14:48:33.448840,-3,-2,-3,-4,-5,-2,0,0
14:48:33.463833,-2,0,-1,2,2,1,0,2
14:48:33.470829,2,-2,0,-3,1,3,1,-4
14:48:33.485820,-5,-2,0,-2,0,1,2,-3
14:48:33.493815,4,-1,-3,-1,-1,-3,1,3
14:48:33.508803,-4,-1,-2,-2,-10,-1,0,-3
14:48:33.509806,-1,-7,1,3,3,0,4,3
14:48:33.530792,1,1,-3,0,0,0,0,0
14:48:33.531790,-3,-2,0,1,-1,-6,-3,-6
14:48:33.545783,-4,-1,-1,-1,-2,-1,0,0
14:48:33.553778,3,1,-3,-3,-2,-4,-4,-1
14:48:33.568766,-6,-4,-3,-1,1,0,-1,-2
14:48:33.575762,6,2,1,0,-1,-2,-2,-3
14:48:33.591753,-6,1,-1,1,1,0,3,-2
14:48:33.592751,-2,-4,-2,-2,-2,-9,-3,-3
14:48:33.605746,-1,-1,0,-5,-3,2,0,-3
14:48:33.613741,1,-1,-1,2,0,-3,-1,-1
14:48:33.628732,2,6,6,3,8,9,5,3
14:48:33.635727,-1,-3,0,-2,-2,-5,-3,-4
14:48:33.650718,1,-1,2,-1,-2,-5,-4,1
14:48:33.651716,2,-3,0,2,0,3,3,0
14:48:33.665708,3,0,1,-2,-6,-1,-2,2
14:48:33.674701,-2,-3,0,-1,0,-2,1,5
14:48:33.688695,-3,-1,-3,1,-2,-3,-4,-4
14:48:33.695690,-5,-3,-2,-4,-2,-2,-5,1
14:48:33.710681,-4,-2,-5,-7,-13,-3,-1,-6
14:48:33.711677,-3,-4,1,0,4,1,-2,-1
14:48:33.725669,-3,-1,0,-2,5,3,-1,-4
