timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
14:48:02.331165,4,0,-2,2,6,2,1,3
14:48:02.346132,-3,-1,-1,-3,-2,0,2,0
14:48:02.353125,0,-2,-1,-2,-6,0,0,2
14:48:02.368117,-4,0,1,0,2,-1,0,-1
14:48:02.369126,-4,1,-1,0,-4,-3,-1,-1
14:48:02.383107,1,0,1,0,-3,-1,-1,3
14:48:02.391102,0,0,-1,0,-6,-2,1,-3
14:48:02.405094,-2,0,-2,-1,-2,1,-1,-2
14:48:02.413090,-2,-3,-4,-2,-1,0,-2,-3
14:48:02.428081,-1,0,-2,0,0,1,1,1
14:48:02.429079,-3,1,-1,1,-1,-2,-2,-3
14:48:02.443070,1,0,-3,-3,0,-2,-3,-3
14:48:02.451065,0,-3,1,0,-3,-3,-2,0
14:48:02.465058,-1,-2,-2,0,0,-3,-1,-2
14:48:02.473051,-3,2,-1,0,0,1,0,1
14:48:02.488042,8,0,0,0,2,3,4,4
14:48:02.489040,-3,-4,2,-1,3,0,-2,-4
14:48:02.503032,-1,0,-1,-1,0,-2,-4,-3
14:48:02.511031,-1,-4,1,2,1,-2,-1,0
14:48:02.526029,0,2,-1,-1,0,1,1,-2
14:48:02.533013,-4,0,-3,-2,-4,-3,-2,0
14:48:02.548005,-3,0,-2,0,-1,-1,-2,2
14:48:02.549004,-2,2,-1,-1,2,-2,-3,-3
14:48:02.570016,-2,-4,-4,-3,-3,0,0,3
14:48:02.570989,-4,-2,-3,1,1,1,2,-2
14:48:02.585982,0,0,-1,0,-1,-4,-2,-1
14:48:02.592976,-3,-1,-1,-2,-1,-1,-1,0
14:48:02.607969,-1,2,1,2,11,6,2,0
14:48:02.608968,0,-3,-1,-3,-10,-6,-3,-3
14:48:02.622957,2,0,-2,-2,3,0,0,-2
14:48:02.630952,6,0,-1,2,-3,-6,-1,-1
14:48:02.645945,-4,0,1,-2,-1,-1,0,-3
14:48:02.652938,-1,0,1,3,3,2,-1,-3
14:48:02.667930,-2,1,-3,-3,0,-2,-2,2
14:48:02.667930,1,-1,-2,-1,-3,-1,1,-1
14:48:02.682952,1,-6,-3,0,-2,0,2,1
14:48:02.690924,-3,0,-3,-1,-3,-6,2,-3
14:48:02.705907,-3,-2,0,-3,-4,-1,-3,-4
14:48:02.712943,-3,-4,-2,-1,-1,1,0,-2
14:48:02.727896,1,-3,-4,-1,0,1,1,1
14:48:02.728893,2,-1,1,0,4,-2,-2,3
14:48:02.742947,-1,1,-4,-1,5,2,-1,0
14:48:02.757875,3,-2,-4,-1,-4,-2,-3,0
14:48:02.772865,-1,0,-1,-2,0,2,1,-3
14:48:02.773864,-1,1,-1,1,4,1,0,-1
14:48:02.787857,-3,0,0,0,-4,-2,-1,-1
14:48:02.788856,-3,0,-1,-1,-3,-2,1,0
14:48:02.802849,0,0,-2,-2,-3,-1,0,3
14:48:02.810843,-3,-3,-1,-2,-1,0,0,0
14:48:02.825833,2,-4,-1,1,5,1,0,3
14:48:02.832830,-1,1,0,0,-7,-4,0,-1
14:48:02.847818,2,-3,2,-1,-1,-2,-2,1
14:48:02.848819,-5,0,2,0,-1,-5,-4,-3
14:48:02.862815,2,-1,0,-2,-2,1,2,0
14:48:02.870810,-1,-3,0,0,2,-2,-2,-3
14:48:02.885796,-1,-2,-4,-4,-7,-5,-3,-1
14:48:02.892792,0,3,1,-1,3,2,1,-2
14:48:02.908781,-4,-3,-3,-1,-7,-5,-3,-8
14:48:02.908781,2,3,2,4,2,2,2,-1
14:48:02.922775,-1,-3,-2,-1,-3,-4,-2,-3
14:48:02.930770,8,1,-1,1,-1,-1,0,1
14:48:02.945761,-6,0,-1,-3,-1,-1,-1,0
14:48:02.953754,-2,-1,-3,0,0,-1,0,-5
14:48:02.968743,0,-1,-2,2,4,5,1,2
14:48:02.969743,-1,0,1,-1,-6,0,1,2
14:48:02.983738,1,-6,0,-3,2,-1,1,3
14:48:02.991731,2,4,0,2,3,0,3,4
14:48:03.005724,0,-2,1,4,3,-1,-1,-1
14:48:03.013719,2,1,-2,2,-5,-3,-2,1
14:48:03.028707,-1,1,0,-1,-1,-1,-2,2
14:48:03.029708,2,2,2,-1,0,-3,-3,-1
14:48:03.043700,3,2,1,5,1,2,2,7
14:48:03.050696,-3,-2,-1,0,-5,-5,-1,0
14:48:03.065686,-2,-1,0,-2,0,-1,0,-1
14:48:03.073682,-3,-1,-1,1,0,0,-2,1
14:48:03.088669,1,0,0,1,-1,-1,0,2
14:48:03.088669,-2,-2,-2,-1,0,1,-1,1
14:48:03.103663,2,-3,1,0,-1,-2,-3,-1
14:48:03.110656,-4,1,-3,-2,-5,-2,-6,-5
14:48:03.125648,2,-2,2,1,4,3,-2,4
14:48:03.133644,1,2,-2,-1,-2,-8,-1,-1
14:48:03.148632,-3,-3,0,0,-8,-1,0,1
14:48:03.148632,0,-1,1,-3,2,-2,1,-3
14:48:03.170618,-6,3,0,1,3,-3,-4,0
14:48:03.171620,1,2,-3,-2,-2,0,-1,-3
14:48:03.185612,-2,0,-1,-3,-2,-1,0,0
14:48:03.193607,-1,0,-1,-4,-2,-1,-1,1
14:48:03.208596,0,3,1,2,0,0,0,-1
14:48:03.215593,0,1,-3,0,1,1,-3,-6
14:48:03.230584,-1,-1,-3,3,-4,2,2,0
14:48:03.231580,-3,-1,1,2,-2,-2,1,-1
14:48:03.246574,-1,2,1,0,-2,2,2,0
14:48:03.253570,-2,-2,2,-1,5,2,1,-4
14:48:03.268561,-6,-1,1,-3,-6,-5,-2,-1
14:48:03.276553,0,-1,0,0,3,-4,-2,-1
14:48:03.292544,-1,0,-3,-3,-2,1,-2,2
14:48:03.292544,-2,-3,-1,2,1,-1,2,-2
14:48:03.306536,-2,-2,1,-1,-5,-2,0,-4
14:48:03.313531,-3,-1,0,-2,-1,1,-2,-1
14:48:03.328523,-1,-1,-3,-1,0,1,0,-1
14:48:03.335519,-1,-1,2,4,1,0,0,2
14:48:03.351506,1,2,2,-2,-4,-2,-2,-1
